时间,广告位类型,广告位,广告展示数,点击量,预计收入,千次展示收益,点击率
2018-11-01,开屏,纽扣的游戏-oppo-开屏,483,66,13.91,28.80,13.66%
2018-11-01,Banner,面条滑溜溜-魅族-横幅,"17,464",61,11.70,0.67,0.35%
2018-11-01,开屏,保护气球-中兴-开屏,158,4,0.99,6.27,2.53%
2018-11-01,开屏,疯狂投篮-三星-开屏,716,79,30.25,42.25,11.03%
2018-11-01,原生,指尖飞车-taptap-开屏(原),435,39,11.18,25.70,8.97%
2018-11-01,Banner,保护气球-好游-横幅,"2,899",10,2.43,0.84,0.34%
2018-11-01,插屏,欢乐打豆豆-联想-插屏,0,0,0.00,0.00,0.00%
2018-11-01,开屏,开心玻璃杯-联想-开屏,"1,931",90,30.94,16.02,4.66%
2018-11-01,插屏,八分音符酱-阿里云-插屏-激励,0,0,0.00,0.00,0.00%
2018-11-01,Banner,指尖飞车-qihoo-横幅,"2,447",20,4.92,2.01,0.82%
2018-11-01,开屏,飞刀射击-小米-开屏,218,10,6.09,27.94,4.59%
2018-11-01,插屏,保护气球-小米-插屏,200,20,2.61,13.05,10.00%
2018-11-01,Banner,完美贴合-qihoo-横幅,"5,770",16,9.63,1.67,0.28%
2018-11-01,开屏,贪吃蛇大战2048-联想-开屏,139,14,5.06,36.40,10.07%
2018-11-01,原生,线条飞跃-4399-插屏(原),185,39,27.30,147.57,21.08%
2018-11-01,开屏,纽扣的游戏-魅族-开屏,0,0,0.00,0.00,0.00%
2018-11-01,插屏,保护气球-vivo-插屏,"9,748",679,170.84,17.53,6.97%
2018-11-01,插屏,八分音符酱-九游-插屏,0,0,0.00,0.00,0.00%
2018-11-01,Banner,飞刀射击-联想-横幅,281,6,1.02,3.63,2.14%
2018-11-01,插屏,面条滑溜溜-好游-插屏,"13,083",918,235.97,18.04,7.02%
2018-11-01,开屏,贪吃蛇大战2048-通用-开屏,187,14,4.35,23.26,7.49%
2018-11-01,插屏,飞刀射击-小米-插屏,128,11,2.75,21.48,8.59%
2018-11-01,开屏,贪吃蛇大战2048-小米-开屏,202,23,8.80,43.56,11.39%
2018-11-01,Banner,十字绣-联想-横幅,504,0,0.00,0.00,0.00%
2018-11-01,Banner,开心玻璃杯-qihoo-横幅,"22,815",72,14.86,0.65,0.32%
2018-11-01,开屏,奇妙的森林-小米-开屏,15,1,0.17,11.33,6.67%
2018-11-01,插屏,球球跳一跳-联想-插屏,33,2,0.45,13.64,6.06%
2018-11-01,插屏,斗图大作战-插屏,3,0,0.00,0.00,0.00%
2018-11-01,插屏,纽扣的游戏-通用-插屏-新,0,0,0.00,0.00,0.00%
2018-11-01,Banner,全民跳一跳-努比亚-横幅,300,3,0.48,1.60,1.00%
2018-11-01,Banner,指尖飞车-联想-横幅,72,1,0.46,6.39,1.39%
2018-11-01,Banner,球球跳-联想-横幅,215,3,1.65,7.67,1.40%
2018-11-01,插屏,魅影车手-好游-插屏,181,9,2.95,16.30,4.97%
2018-11-01,插屏,面条滑溜溜-魅族-插屏,"26,181","4,431",413.38,15.79,16.92%
2018-11-01,Banner,疯狂投篮-oppo-横幅,"20,439",661,219.24,10.73,3.23%
2018-11-01,插屏,保护气球-三星-插屏,"1,316",94,23.17,17.61,7.14%
2018-11-01,插屏,保护气球-中兴-插屏,703,29,9.41,13.39,4.13%
2018-11-01,Banner,开心玻璃杯-联想-横幅,"7,115",10,4.81,0.68,0.14%
2018-11-01,开屏,十字绣-小米-开屏,365,29,10.40,28.49,7.95%
2018-11-01,插屏,寻光4399-插屏,21,0,0.14,6.67,0.00%
2018-11-01,原生,面条滑溜溜-oppo-开屏(原),111,6,2.97,26.76,5.41%
2018-11-01,插屏,红心大战接龙-vivo-插屏,"9,839",271,152.41,15.49,2.75%
2018-11-01,开屏,疯狂投篮-好游快爆-开屏,72,2,0.91,12.64,2.78%
2018-11-01,开屏,六角拼拼-联想-开屏,66,0,0.03,0.45,0.00%
2018-11-01,Banner,魅影车手-小米-横幅,14,1,0.08,5.71,7.14%
2018-11-01,开屏,飞刀射击-联想-开屏,54,6,1.76,32.59,11.11%
2018-11-01,开屏,地表最强音-oppo-开屏,73,4,1.58,21.64,5.48%
2018-11-01,Banner,疯狂投篮-好游快爆-横幅,449,8,1.55,3.45,1.78%
2018-11-01,原生,面条滑溜溜-oppo-插屏(原),729,135,87.63,120.21,18.52%
2018-11-01,开屏,纽扣的游戏-金立游戏-开屏,448,38,10.74,23.97,8.48%
2018-11-01,插屏,完美贴合-qihoo-插屏,"1,123",46,22.18,19.75,4.10%
2018-11-01,Banner,开心玻璃杯-好游快爆-横幅,981,6,1.40,1.43,0.61%
2018-11-01,Banner,十字绣-4399-横幅,"1,588",1,0.90,0.57,0.06%
2018-11-01,插屏,六角拼拼-小米-激励插屏,0,0,0.00,0.00,0.00%
2018-11-01,开屏,十字绣-qihoo-开屏,64,3,0.52,8.13,4.69%
2018-11-01,原生,贪吃蛇大战2048-百度-锁屏广告,2,0,0.02,10.00,0.00%
2018-11-01,开屏,贪吃蛇大战2048-三星-开屏,243,21,9.75,40.12,8.64%
2018-11-01,Banner,保护气球-联想-横幅,"1,379",8,3.40,2.47,0.58%
2018-11-01,Banner,指尖飞车-oppo-横幅,1,0,0.00,0.00,0.00%
2018-11-01,Banner,吃鸡大英雄-vivo-横幅,"29,646",338,90.58,3.06,1.14%
2018-11-01,插屏,贪吃蛇大战2048-魅族-激励插屏,0,0,0.00,0.00,0.00%
2018-11-01,Banner,欢乐球球-4399-横幅,310,1,0.60,1.94,0.32%
2018-11-01,插屏,球球大战方块-好游-插屏,30,0,0.03,1.00,0.00%
2018-11-01,开屏,六角拼拼-金立游戏-开屏,7,0,0.00,0.00,0.00%
2018-11-01,Banner,球球大战方块-联想-横幅,14,0,0.00,0.00,0.00%
2018-11-01,插屏,面条滑溜溜-oppo-插屏,"1,900",161,41.21,21.69,8.47%
2018-11-01,原生,八分音符酱-4399-退出广告-自,23,0,0.02,0.87,0.00%
2018-11-01,插屏,地表最强音-oppo-插屏,107,10,2.84,26.54,9.35%
2018-11-01,插屏,全民跳一跳-4399-插屏,6,0,0.00,0.00,0.00%
2018-11-01,开屏,面条滑溜溜-oppo-开屏,449,21,8.48,18.89,4.68%
2018-11-01,插屏,玩转羽毛球-通用-插屏,1,0,0.00,0.00,0.00%
2018-11-01,开屏,贪吃蛇大战2048-oppo-开屏,"1,178",142,40.61,34.47,12.05%
2018-11-01,Banner,纽扣的游戏-oppo-横幅,"1,029",13,2.20,2.14,1.26%
2018-11-01,插屏,皮皮虾我们走-taptap-插屏,2,1,0.02,10.00,50.00%
2018-11-01,插屏,吃鸡大英雄-小米-插屏,571,30,8.76,15.34,5.25%
2018-11-01,开屏,奇妙的森林-联想-开屏,4,0,0.00,0.00,0.00%
2018-11-01,插屏,指尖陀螺-努比亚-插屏,40,3,0.25,6.25,7.50%
2018-11-01,Banner,贪吃大作战-华为-横幅,11,0,0.00,0.00,0.00%
2018-11-01,插屏,寻光-金立游戏-插屏,3,0,0.00,0.00,0.00%
2018-11-01,插屏,滚动的球球-联想-插屏,129,9,2.48,19.22,6.98%
2018-11-01,Banner,老板锁屏-横幅,"37,590",178,58.13,1.55,0.47%
2018-11-01,Banner,完美贴合-小米-横幅,"3,434",1,1.27,0.37,0.03%
2018-11-01,Banner,线条飞跃-qihoo-横幅,73,3,1.61,22.05,4.11%
2018-11-01,插屏,贪吃蛇大战2048-小米-插屏,450,40,11.56,25.69,8.89%
2018-11-01,开屏,开心玻璃杯-好游快爆-开屏,265,9,3.40,12.83,3.40%
2018-11-01,插屏,全民跳一跳-oppo-插屏,"3,096",257,67.37,21.76,8.30%
2018-11-01,插屏,魅影车手-联想-插屏,0,0,0.00,0.00,0.00%
2018-11-01,插屏,十字绣-小米-激励插屏,0,0,0.00,0.00,0.00%
2018-11-01,原生,开心玻璃杯-中兴-插屏(原),"3,764",451,63.17,16.78,11.98%
2018-11-01,开屏,红心大战接龙-联想-开屏,95,6,1.68,17.68,6.32%
2018-11-01,原生,皮皮虾我们走-百度-退出广告-自,0,0,0.00,0.00,0.00%
2018-11-01,插屏,寻光-百度-插屏,46,0,0.30,6.52,0.00%
2018-11-01,插屏,红心大战接龙-小米-插屏,897,27,12.48,13.91,3.01%
2018-11-01,开屏,地表最强音-金立游戏-开屏,4,0,0.00,0.00,0.00%
2018-11-01,原生,线条飞跃-4399-开屏(原),79,11,4.97,62.91,13.92%
2018-11-01,开屏,一球爆破-vivo-开屏,6,0,0.02,3.33,0.00%
2018-11-01,Banner,红心大战接龙-4399-横幅1,"7,312",24,5.74,0.79,0.33%
2018-11-01,开屏,保护气球-金立游戏-开屏,178,11,5.77,32.42,6.18%
2018-11-01,原生,贪吃蛇大战20484399-退出广告-自,2,0,0.00,0.00,0.00%
2018-11-01,Banner,八分音符酱-酷派-横幅,74,0,0.00,0.00,0.00%
2018-11-01,Banner,开心玻璃杯-oppo-横幅,"8,662",58,25.38,2.93,0.67%
2018-11-01,开屏,八分音符酱-vivo-开屏,"1,060",107,28.92,27.28,10.09%
2018-11-01,插屏,贪吃蛇大战20484399-插屏,32,2,1.19,37.19,6.25%
2018-11-01,原生,指尖飞车-taptap-插屏(原),770,92,23.32,30.29,11.95%
2018-11-01,插屏,欢乐打豆豆-通用-插屏-激励,0,0,0.00,0.00,0.00%
